編號,供應商簡稱,分類
36911,Oster全球果汁機領導品牌,電器3c/美妝
37217,快樂幸福生活館,電器3c/美妝
37265,不二茗門,#N/A
37305,台南好年小農,水果
37346,三北北的鮮鶉蛋,農產品/原住民/花東
37353,克齡嘉寶 - 沙棘油 保養/ 防禦/美肌 皮膚專科,#N/A
37355,illy 意利咖啡,電器3c/美妝
37523,韓國VIVATEC,幼兒相關
37594,韓國BEBEGANIC,幼兒相關
37609,山不枯 Sanpuku,茶/咖啡
37807,大地柑仔店,食品加工品
37932,美人歸,農產品/原住民/花東
38064,皇珵醬油釀造工坊,食品加工品
38211,糧莘庇護農場,農產品/原住民/花東
38267,康迪斯保健食品,運動/園藝/生活/其他
38299,苗栗公館 阿聰的無毒紅棗乾,水果
38321,牧實天然選品,食品加工品
38441,HOMEHERE✪全館買就送百元購物金✪,幼兒相關
38498,Lasykids積木,幼兒相關
38513,日本Vacances,運動/園藝/生活/其他
38558,妮芙頂極紅薑黃,農產品/原住民/花東
38816,新瑞榮國際有限公司,#N/A
38933,韓國oxford,幼兒相關
38934,London Taxi KickBike,幼兒相關
39074,阿寶蘋果園,水果
39189,親好屋 Kiss Good,食品加工品
39198,Popcorn 就是❤️爆米花,#N/A
39206,艾蕾優格時尚館,甜點
39330,天然家園,茶/咖啡
39393,桑天牛農場,水果
39427,敘茶時光,#N/A
39617,恬蜜家,#N/A
39625,普魯士德國豬腳,生鮮水產/肉品
39728,魚魚小舖,#N/A
39789,花蓮美卿姐,#N/A
39857,格外品故事,食品加工品
39881,苗栗造橋 阿生哥的野生洛神葵,農產品/原住民/花東
39905,啡茶不可,茶/咖啡
39912,集倉好食材 任選10包免運費,農產品/原住民/花東
40115,來來果園,水果
40201,品香草莓園,水果
40237,燕巢林家果園，自產自銷、香甜脆口,#N/A
40252,益康泡菜,食品加工品
40255,碩園農場,#N/A
40297,奧利薇的房間,#N/A
40336,彰化溪州 順禹老師的有機無花果,水果
40340,robmaria,電器3c/美妝
40427,普悅麗,食品加工品
40440,普悅麗烘焙✪單筆訂單滿$700 即贈16穀米紅藜麥大豆歐式麵包✪,食品加工品
40468,幸福洋溢烘焙工作室,甜點
40512,晁陽綠能農場,農產品/原住民/花東
40548,岩生築見．里物,生鮮水產/肉品
40563,黑豆桑事業有限公司,食品加工品
40564,行健有機夢想村,農產品/原住民/花東
40691,蒲公英有機農場,水果
40906,陳爸紅龍果,水果
40988,Sonbérnor,#N/A
41225,木蘭養生慢活小舖,飲料
41239,Appletinies奧地利貴婦甜心有機蘋果丁巧克力,甜點
41259,德國愛麗莎低鈉礦泉水,#N/A
41342,古積食品 ,食品加工品
41448,軒閣食品-鮮盒子,食品加工品
41636,寶哥烘炸小琉球麻花捲,甜點
41729,Simon Boss,電器3c/美妝
41784,GCT玩具嚴選,#N/A
41801,Purple Passion巴西莓粉,運動/園藝/生活/其他
42066,田中豆製 JT's Soy House,飲料
42338,LondonTaxiBike,幼兒相關
42514,樹重奏,運動/園藝/生活/其他
42532,錯喜歡茶 Chosenone Tea,茶/咖啡
42900,晴畊農物,#N/A
42936,耕心有機農場,農產品/原住民/花東
43020,Trubii優市集,#N/A
43059,海鳥愛吃,飲料
43144,關廟金鑽鳳梨,#N/A
43332,心情有機農場,食品加工品
43357,U&Me Sweet Cake,甜點
43832,龍昇南北店,運動/園藝/生活/其他
43911,人良油坊 Oilicious,食品加工品
